,State,District,Market,Commodity,Variety,Arrival_Date,Min,Max
1091,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-10,310,800
746,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-10,600,600
777,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-11,400,600
1117,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-11,90,610
1407,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-11,600,800
1434,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-12,600,800
1147,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-12,50,600
807,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-12,700,900
574,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-13,700,1100
903,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-13,400,620
1226,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-13,1400,1500
904,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-14,240,670
575,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-14,600,1000
1227,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-15,1000,1000
905,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-15,340,690
576,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-15,600,1000
906,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-16,380,700
1228,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-16,900,1000
577,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-16,600,1200
1229,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-17,900,1000
907,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-17,200,620
578,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-17,700,1100
1230,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-18,900,1000
579,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-18,700,1300
908,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-18,250,660
909,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-19,260,620
580,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-19,800,1200
1231,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-19,1000,1000
581,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-20,800,1200
910,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-20,260,680
582,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-21,800,1200
583,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-22,600,1000
911,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-22,300,700
1232,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-22,900,1000
1233,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-23,1000,1000
912,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-23,300,700
584,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-23,600,1000
913,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-24,300,640
1234,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-24,1000,1000
585,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-24,600,1000
586,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-25,600,1000
1235,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-25,1000,1000
914,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-25,300,640
915,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-26,330,700
1236,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-26,1000,1000
587,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-26,600,1000
588,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-27,600,800
1237,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-27,800,1000
916,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-27,330,700
589,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-28,600,800
917,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-28,370,700
1238,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-29,800,800
590,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-29,800,1200
918,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-29,390,700
591,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-30,800,1200
1239,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-30,800,1000
919,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-30,400,720
920,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-31,380,720
1240,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-31,1000,1200
592,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-31,600,1200
1178,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-04-01,3000,3000
837,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-01,780,1590
505,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-01,2000,3000
1197,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-04-02,1800,2000
866,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-02,450,890
536,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-02,1600,2000
565,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-03,800,1200
1218,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-04-03,1300,1500
895,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-03,420,730
596,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-04,600,1000
924,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-04,480,800
1244,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-04-04,800,1000
614,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-05,600,1800
952,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-05,240,720
1262,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-04-05,2000,2000
983,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-06,400,710
1283,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-04-06,2000,2000
1012,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-07,390,930
669,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-07,500,900
1042,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-08,390,790
1362,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-04-09,1300,1500
1063,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-09,320,820
717,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-09,500,700
747,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-10,600,600
1092,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-10,300,700
1384,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-04-10,700,1000
1408,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-04-11,600,800
1118,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-11,170,750
778,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-11,600,800
1148,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-12,50,600
808,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-12,650,850
605,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-13,600,1000
932,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-13,430,740
1251,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-04-13,900,1000
933,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-14,420,740
606,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-14,600,1200
934,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-15,420,740
607,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-15,600,1400
608,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-16,600,1400
935,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-16,340,630
1252,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-04-16,1000,1000
609,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-17,800,1400
936,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-17,340,630
610,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-18,800,1400
937,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-18,290,710
938,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-19,150,670
1253,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-04-19,1000,1000
611,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-04-19,600,1000
939,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-20,230,710
1254,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-04-20,1000,1000
940,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-21,260,650
1255,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-04-21,1000,1000
941,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-22,260,540
942,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-23,240,640
1256,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-04-23,1300,1500
943,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-24,240,640
944,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-25,280,750
945,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-04-26,200,610
